TOP_N,Method,Recall,Precision,F1,MAP,NDCG,MRR,Coverage,Diversity
10,svd,0.0183,0.0047,0.0071,0.0221,0.0167,0.0219,0.0123,1.0000
10,node2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5368,1.0000
10,torch,0.0140,0.0039,0.0060,0.0113,0.0077,0.0113,0.2004,1.0000
10,hybrid,0.0444,0.0133,0.0195,0.0240,0.0159,0.0237,0.4315,1.0000
10,content,0.0837,0.0239,0.0353,0.0992,0.0818,0.1043,0.3742,0.7700
10,collaborative,0.0275,0.0082,0.0119,0.0298,0.0204,0.0313,0.4090,0.8124
10,word2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,svd,0.0433,0.0060,0.0101,0.0252,0.0230,0.0250,0.0225,1.0000
20,node2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5562,1.0000
20,torch,0.0317,0.0043,0.0074,0.0132,0.0116,0.0132,0.2965,1.0000
20,hybrid,0.1034,0.0142,0.0242,0.0266,0.0248,0.0269,0.5920,1.0000
20,content,0.1312,0.0179,0.0304,0.1026,0.1061,0.1128,0.5695,0.7700
20,collaborative,0.0275,0.0041,0.0068,0.0298,0.0203,0.0313,0.4090,0.8124
20,word2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,svd,0.0640,0.0057,0.0103,0.0272,0.0302,0.0272,0.0327,1.0000
30,node2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5879,1.0000
30,torch,0.0493,0.0045,0.0081,0.0158,0.0185,0.0158,0.3701,1.0000
30,hybrid,0.1786,0.0156,0.0280,0.0298,0.0448,0.0323,0.6861,1.0000
30,content,0.2086,0.0189,0.0337,0.1028,0.1167,0.1149,0.6605,0.7700
30,collaborative,0.0275,0.0027,0.0048,0.0298,0.0203,0.0313,0.4090,0.8124
30,word2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,svd,0.0898,0.0059,0.0109,0.0279,0.0347,0.0282,0.0429,1.0000
40,node2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6135,1.0000
40,torch,0.0613,0.0042,0.0077,0.0166,0.0220,0.0167,0.4233,1.0000
40,hybrid,0.2231,0.0144,0.0266,0.0332,0.0697,0.0371,0.7577,1.0000
40,content,0.2585,0.0175,0.0321,0.1024,0.1258,0.1162,0.7362,0.7700
40,collaborative,0.0275,0.0020,0.0037,0.0298,0.0203,0.0313,0.4090,0.8124
40,word2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
