TOP_N,Method,Recall,Precision,F1,MAP,NDCG,MRR,Coverage,Diversity
10,svd,0.0270,0.0068,0.0102,0.0260,0.0177,0.0266,0.0490,0.0106
10,node2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5271,0.0130
10,torch,0.0287,0.0068,0.0106,0.0211,0.0176,0.0211,0.1982,0.0509
10,hybrid,0.0475,0.0123,0.0186,0.0324,0.0243,0.0318,0.3013,0.0144
10,content,0.0494,0.0153,0.0224,0.0689,0.0606,0.0758,0.2911,0.0238
10,collaborative,0.0264,0.0079,0.0114,0.0317,0.0203,0.0321,0.4096,0.0086
10,word2vec,0.0241,0.0079,0.0111,0.1404,0.0833,0.1405,0.4709,0.0037
20,svd,0.0572,0.0073,0.0124,0.0300,0.0266,0.0307,0.0725,0.0098
20,node2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5485,0.0135
20,torch,0.0545,0.0063,0.0109,0.0236,0.0238,0.0243,0.2860,0.0507
20,hybrid,0.0904,0.0121,0.0207,0.0329,0.0279,0.0330,0.5138,0.0135
20,content,0.1112,0.0167,0.0282,0.0712,0.0760,0.0808,0.4719,0.0237
20,collaborative,0.0264,0.0039,0.0066,0.0317,0.0202,0.0321,0.4096,0.0086
20,word2vec,0.0647,0.0095,0.0160,0.1431,0.0923,0.1447,0.5036,0.0042
30,svd,0.0758,0.0069,0.0122,0.0327,0.0350,0.0333,0.0899,0.0096
30,node2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5720,0.0133
30,torch,0.0709,0.0060,0.0107,0.0243,0.0292,0.0259,0.3596,0.0511
30,hybrid,0.1198,0.0112,0.0200,0.0348,0.0364,0.0351,0.5802,0.0137
30,content,0.1648,0.0166,0.0295,0.0708,0.0863,0.0823,0.5618,0.0242
30,collaborative,0.0264,0.0026,0.0046,0.0317,0.0202,0.0321,0.4096,0.0086
30,word2vec,0.1111,0.0103,0.0185,0.1423,0.0972,0.1463,0.5189,0.0045
40,svd,0.1027,0.0071,0.0129,0.0329,0.0400,0.0343,0.1001,0.0098
40,node2vec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6108,0.0135
40,torch,0.0922,0.0060,0.0110,0.0252,0.0350,0.0273,0.4208,0.0512
40,hybrid,0.1543,0.0109,0.0198,0.0362,0.0551,0.0387,0.6588,0.0178
40,content,0.1989,0.0152,0.0276,0.0697,0.0951,0.0834,0.6425,0.0251
40,collaborative,0.0264,0.0020,0.0036,0.0317,0.0202,0.0321,0.4096,0.0086
40,word2vec,0.1368,0.0096,0.0176,0.1418,0.1014,0.1472,0.5250,0.0047
